fonte,registro_id,codigo_ibge,municipio,uf,orgao_razao_social,data_referencia,valor_global,objeto,eixo_id,subeixo_id,keywords_hit,estagio
PNCP,14239578000100-2-000261/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,237270.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",primeira_infancia,creche_pre_escola,creches,contratado
PNCP,14239578000100-2-000261/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,237270.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,14239578000100-2-000262/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,1306600.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",primeira_infancia,creche_pre_escola,creches,contratado
PNCP,14239578000100-2-000262/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,1306600.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,14239578000100-2-000263/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,653465.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",primeira_infancia,creche_pre_escola,creches,contratado
PNCP,14239578000100-2-000263/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,653465.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,06087188000133-2-000039/2025,5217708,Pontalina,GO,SECRETARIA DE EDUCACAO E DE DESENVOLVIMENTO HUMANO,2025-09-29,42799.0,"PROVENIENTE DE DESPESA COM AQUISIÇÃO DE MATERIAIS PARA PROMOÇÃO DE ARTES VISUAIS, CULTURA (DANÇA, TEATRO, MUSICA E ESPORTES PARA AS ESCOLAS DE TEMPO INTEGRAL DA REDE DE ENS FUNDAMENTAL, CONF DISP DE LICITAÇÃO Nº234/2025 E SOLICITAÇÃO Nº31815 EM ANEXO.",busca_ativa_escolar,programas_permanencia,tempo integral,contratado
PNCP,14239578000100-2-000264/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,320260.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",primeira_infancia,creche_pre_escola,creches,contratado
PNCP,14239578000100-2-000264/2025,2933307,Vitória da Conquista,BA,MUNICIPIO DE VITORIA DA CONQUISTA,2025-07-15,320260.0,"CONTRATACAO DE PESSOA JURIDICA OBJETIVANDO O FORNECIMENTO DE GENEROS ALIMENTICIOS DERIVADOS DA AGRICULTURA FAMILIAR EM CUMPRIMENTO AOS CARDAPIOS DAS CRECHES E ESCOLAS MUNICIPAIS E FILANTROPICAS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA MUNICIPAL DE EDUCACAO.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,18125146000129-2-000301/2025,3109303,Buritis,MG,MUNICIPIO DE BURITIS,2025-08-04,0.0,Contratação de empresas especializadas para a prestação de serviços de transporte escolar,busca_ativa_escolar,transporte_escolar,transporte escolar,contratado
